Date,Time
23 Jun,08:59am
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,26
2020-03-17,33
2020-03-18,83
2020-03-19,104
2020-03-20,152
2020-03-21,225
2020-03-22,249
2020-03-23,296
2020-03-24,323
2020-03-25,408
2020-03-26,490
2020-03-27,558
2020-03-28,593
2020-03-29,652
2020-03-30,708
2020-03-31,845
2020-04-01,920
2020-04-02,1072
2020-04-03,1163
2020-04-04,1493
2020-04-05,1918
2020-04-06,2030
2020-04-07,2171
2020-04-08,2279
2020-04-09,2336
2020-04-10,2425
2020-04-11,2594
2020-04-12,2826
2020-04-13,2945
2020-04-14,3217
2020-04-15,3276
2020-04-16,3391
2020-04-17,3649
2020-04-18,3721
2020-04-19,4195
2020-04-20,4328
2020-04-21,4590
2020-04-22,4767
2020-04-23,5046
2020-04-24,5378
2020-04-25,5446
2020-04-26,5640
2020-04-27,5827
2020-04-28,6061
2020-04-29,6340
2020-04-30,6733
2020-05-01,7106
2020-05-02,7524
2020-05-03,8103
2020-05-04,8420
2020-05-05,9077
2020-05-06,10033
2020-05-07,10471
2020-05-08,11093
2020-05-09,11568
2020-05-10,11869
2020-05-11,13225
2020-05-12,13561
2020-05-13,13914
2020-05-14,14201
2020-05-15,14584
2020-05-16,15346
2020-05-17,15976
2020-05-18,16685
2020-05-19,17382
2020-05-20,18455
2020-05-21,18730
2020-05-22,19557
2020-05-23,20077
2020-05-24,20654
2020-05-25,21118
2020-05-26,22037
2020-05-27,22964
2020-05-28,24104
2020-05-29,25056
2020-05-30,26240
2020-05-31,27850
2020-06-01,29489
2020-06-02,31104
2020-06-03,33144
2020-06-04,35308
2020-06-05,37090
2020-06-06,38903
2020-06-07,40819
2020-06-08,43460
2020-06-09,45463
2020-06-10,47382
2020-06-11,50087
2020-06-12,52601
2020-06-13,54138
2020-06-14,55878
2020-06-15,58239
2020-06-16,60138
2020-06-17,61678
2020-06-18,64216
2020-06-19,65739
2020-06-20,66943
2020-06-21,68308
